突击冠突龙！	完成"冠突龙骚动中"
森林恶棍	完成"贼龙与古代树森林"
在古代树森林中采集菇类	完成"贼龙与古代树森林"
精通飞翔爪吧！	安装冰原DLC
来自深绿的猎食战士	狩猎大贼龙
致力于设置营地	狩猎搔鸟
搔鸟是收藏家？	完成"横冲直撞的狂徒们！？"
美味的鱼有獠牙	完成"横冲直撞的狂徒们！？"
驱除荒野之虫	完成"横冲直撞的狂徒们！？"
捕获：搔鸟的生态调查	完成"来自深绿的猎食战士"
调查毒妖鸟	完成"紧急任务·狩猎毒妖鸟"
雷电奔走的飞雷龙	完成"雷电奔走的飞雷龙"
满身泥巴大突击！	完成"横冲直撞的狂徒们！？"
潜行泥边的泥鱼龙	完成"险恶的沼泽"
仙人掌的季节即将来临	完成"雷电奔走的飞雷龙"后与温和的植物学者对话
我是荒地的搬运工	完成"雷电奔走的飞雷龙"
捕获：土砂龙的生态调查	完成"横冲直撞的狂徒们！？"
特殊斗技场：毒妖鸟篇	完成"熔山龙捕获作战"
特殊斗技场：土砂龙篇	完成"险恶的沼泽"
特殊斗技场：飞雷龙篇	完成"森林暴徒·蛮颚龙"和捕获 飞雷龙
飞雷龙飞舞之森	下位3星解锁
与蛮勇之牙对峙	完成"森林暴徒·蛮颚龙"
我是森林的搬运工	完成"森林暴徒·蛮颚龙"后与料理长对话
女王在荒地中燃烧	完成"熔山龙捕获作战"后与温和的植物学者对话
缠绕黑暗的红光	发现陆珊瑚台地的营地后与料理长对话
来自薄暗的眩鸟	发现陆珊瑚台地的营地
轻盈飘浮的浮空龙	完成"飞吧，浮空龙！"
陆之贝是否梦想深海之梦？	发现陆珊瑚台地的营地后与料理长对话
捕获：浮空龙的生态调查	完成"飞吧，浮空龙！"和"捕获：土砂龙的生态调查"
怒涛的巨甲虫祭	完成"狩猎骨锤龙为粉身碎骨之战！"
大痹贼龙是麻痹的香气	完成"狩猎骨锤龙为粉身碎骨之战！"
骨战车前往山谷	完成"狩猎骨锤龙为粉身碎骨之战！"
展翅的恶梦	完成"狩猎骨锤龙为粉身碎骨之战！"后与武器店对话
特殊斗技场：蛮颚龙篇	完成"森林暴徒·蛮颚龙"和捕获 蛮颚龙后与第三期团头领对话
特殊斗技场：雌火龙篇	完成"森林暴徒·蛮颚龙"和捕获 雌火龙
特殊斗技场：浮空龙篇	完成"飞吧，浮空龙！"和捕获 浮空龙
特殊斗技场：骨锤龙篇	发现陆珊瑚台地的营地和捕获 骨锤龙
击退眩鸟吧！	发现陆珊瑚台地的营地和完成山猫族事件
王在顶点沉睡	狩猎火龙
最强、最恐、最棒夫妻！	HR10后与武器店对话
沙上的双角	完成"角龙为沙地之底"
冰结奏鸣曲	完成"华丽猎人·风漂龙"
苍白之蹄的旋律	完成"捕获：惨爪龙的生态调查"
残忍凶爪	完成"深入谷底"
捕获：惨爪龙的生态调查	完成"深入谷底"和"捕获：浮空龙的生态调查"
不入虎穴焉得虎肉	完成"深入谷底"后与料理长对话
特殊斗技场：风漂龙篇	完成"华丽猎人·风漂龙"和捕获 风漂龙
特殊斗技场：惨爪龙篇	完成"角龙为沙地之底"和"火龙为森林之顶"和捕获 惨爪龙
特殊斗技场：火龙篇	完成"角龙为沙地之底"和"火龙为森林之顶"和捕获 火龙
特殊斗技场：角龙篇	完成"角龙为沙地之底"和"火龙为森林之顶"和捕获 角龙
令人怀念的落日余晖	完成"惊愕的！毒妖鸟！调查！"
狩猎大贼龙	狩猎上位 毒妖鸟和发现 上位 大贼龙
狩猎毒妖鸟	狩猎上位 毒妖鸟
狩猎飞雷龙	狩猎上位 毒妖鸟和发现 上位 飞雷龙
狩猎蛮颚龙	完成"暴徒变得更粗暴了"
沉睡之森的女王	狩猎上位 毒妖鸟和发现 上位 雌火龙
捕获：有如飞雷般的那个	完成"暴徒变得更粗暴了"和"配得上达人的一杯"发现上位 飞雷龙后与内向的学者对话
狩猎搔鸟	狩猎上位 毒妖鸟和发现 上位 搔鸟
狩猎土砂龙	狩猎上位 毒妖鸟和上位 土砂龙
毒妖鸟潜伏荒地	狩猎上位 毒妖鸟
狩猎泥鱼龙	狩猎上位 毒妖鸟和发现 上位 泥鱼龙
狩猎雌火龙	狩猎上位 毒妖鸟和发现 上位 雌火龙
暴徒到访荒地	完成"暴徒变得更粗暴了"
狩猎眩鸟	狩猎上位 毒妖鸟
狩猎浮空龙	狩猎上位 毒妖鸟
