村卫用坚守大剑	村卫用防卫大剑I
村卫用坚守大剑II	村卫用坚守大剑
村卫用坚守大剑III	村卫用坚守大剑II
护村大剑・勇	村卫用坚守大剑III
炎火铁大剑II	炎火铁大剑I
炎火铁大剑III	炎火铁大剑II
炎火铁大剑IV	炎火铁大剑III
炎火铁大剑V	炎火铁大剑IV
炎火忍大剑	炎火铁大剑V
炎火武大剑	炎火忍大剑
炎火武大剑・改	炎火武大剑
炎火杰大剑	炎火武大剑・改
公爵巨剑	炎火武大剑
断头斩剑	公爵巨剑
雪鬼兽嗖I	炎火铁大剑III
雪鬼兽嗖II	雪鬼兽嗖I
雪鬼兽嗖！	雪鬼兽嗖II
雪鬼兽嗖嗖嗖	雪鬼兽嗖！
雪鬼兽嗖嗖嗖・改	雪鬼兽嗖嗖嗖
雪鬼兽！嗖嗖嗖嗖！	雪鬼兽嗖嗖嗖・改
狐大剑【夜宿樱花树】I	炎火铁大剑III
狐大剑【夜宿樱花树】II	狐大剑【夜宿樱花树】I
茜霞紫剑之朝斩	狐大剑【夜宿樱花树】II
茜霞紫剑之朝斩・改	茜霞紫剑之朝斩
茜霞紫微两断剑	茜霞紫剑之朝斩・改
茜霞紫微两断剑・改	茜霞紫微两断剑
辟邪之剑【大紫蛱蝶】	茜霞紫微两断剑
怪力坏剑I	炎火铁大剑III
怪力坏剑II	怪力坏剑I
巨力坏剑	怪力坏剑II
土砂大剑I	炎火铁大剑II
土砂大剑II	土砂大剑I
土砂巨剑	土砂大剑II
土砂破坏者	土砂巨剑
土砂破坏者・改	土砂破坏者
土砂巨力	土砂破坏者・改
轰龙颚I	土砂大剑II
轰龙颚II	轰龙颚I
轰大剑【王虎】	轰龙颚II
轰大剑【王虎】改	轰大剑【王虎】
轰大剑【大王虎】	轰大剑【王虎】改
轰大剑【大王虎】改	轰大剑【大王虎】
奇怪龙大剑I	炎火铁大剑II
奇怪龙大剑II	奇怪龙大剑I
奇怪龙长剑	奇怪龙大剑II
奇怪龙长剑・改	奇怪龙长剑
奇怪龙雷电巨剑	奇怪龙长剑・改
奇怪龙雷电巨剑・改	奇怪龙雷电巨剑
镰鼬风剑I	炎火铁大剑I
镰鼬风剑II	镰鼬风剑I
镰鼬暴风剑	镰鼬风剑II
镰鼬暴风剑・改	镰鼬暴风剑
飓风大剑	镰鼬暴风剑・改
蛇剑【毒蛾】I	镰鼬风剑II
蛇剑【毒蛾】II	蛇剑【毒蛾】I
蛇剑【毒蛇】	蛇剑【毒蛾】II
蛇剑【毒蛇】改	蛇剑【毒蛇】
咬剑【大蛇头】	蛇剑【毒蛇】改
隐秘斩切刀I	蛇剑【毒蛾】I
隐秘斩切刀II	隐秘斩切刀I
暗夜剑【宵暗】	隐秘斩切刀II
暗夜剑【晦暝】	暗夜剑【宵暗】
暗夜剑【晦暝】改	暗夜剑【晦暝】
无明大剑【苦谛】	暗夜剑【晦暝】改
七星大剑【天璇】	暗夜剑【晦暝】
人鱼出鞘I	镰鼬风剑II
人鱼出鞘II	人鱼出鞘I
梦幻人鱼出鞘	人鱼出鞘II
梦幻人鱼出鞘・改	梦幻人鱼出鞘
梦魇大剑人鱼出鞘	梦幻人鱼出鞘・改
梦魇大剑人鱼出鞘・改	梦魇大剑人鱼出鞘
冰花雪人鱼剑	梦幻人鱼出鞘
冰花雪人鱼剑・改	冰花雪人鱼剑
极光雪剑雪人鱼	冰花雪人鱼剑・改
钢剑	铁剑I
破坏者大剑I	钢剑
破坏者大刀	破坏者大剑I
铬金咬剃刀I	破坏者大刀
铬金死亡剃刀	铬金咬剃刀I
铬金地狱薙刀	铬金死亡剃刀
铬金地狱薙刀・改	铬金地狱薙刀
铬金天堂薙刀	铬金地狱薙刀・改
啼剑电龙	铬金地狱薙刀
啼剑电龙・改	啼剑电龙
